S.No,Start,Distance,Race Name,Rank 1 Number,Rank 1 Name,Rank 1 Rider,Rank 1 W,Rank 1 P,Rank 2 Number,Rank 2 Name,Rank 2 Rider,Rank 2 W,Rank 2 P,Rank 3 Number,Rank 3 Name,Rank 3 Rider,Rank 3 P,Rank 3 W,Rank 4 Number,Rank 4 Name,Rank 4 Rider,Rank 4 W,Rank 4 P,Win,Place,Qulnella,Exacta,Trifecta,First4,Double,Quaddle,Qulnella Results,Qulnella Dividends,Exacta Results,Exacta Dividends,Trifecta Results,Trifecta Dividends,First4 Results,First4 Dividends
9,17:25,1400,CROWN PERTH HANDICAP 2UP 0MW 60+,13,SHE'S ALIGHT (NZ),PATRICK CARBERY,11.7,3.6,14,SNIPPY MISS,CLINT JOHNSTON-PORTER,-,3.3,11,BABY BLUES,JOSEPH AZZOPARDI,-,2.5,3,SKINNEN TINS,JADE MCNAUGHT (A1.5),-,-,59.8K,27.7K,15.6K,"5,475",54.1K,41.4K,-,-,13-14,69.3,13-14,151,13-14-11,1114,13-14-11-3,15380.3
0,18:21,2100,"TABTOUCH WESTBRED MARES FEATURE MS PACE (SKY2) NE HWOE $6,000+ PACE SKY2",6,HONG KONG DOLLY,DYLAN EGERTON-GREEN,2.7,1.8,2,SANFORD TILLY,HAYDEN HANCOCK,-,3.8,5,DOTANDNELL,BAILEY MCDONOUGH,-,-,3,BORONIA GULLY,CHRIS LEWIS,-,-,"8,281","3,990","1,098","1,418","3,485","2,604",154,"2,615",02-Jun,7.6,06-Feb,8.1,06-02-2005,44.4,6-2-5-3,158.5
1,18:58,2100,"TABTOUCH COMMUNITY MS PACE (SKY2) NE HWOE $6,000+ PACE SKY2",1,MY LOVE LETTERS (NZ),CHRIS LEWIS,1.6,1.04,2,HURN,DEAN MILLER,-,1.8,8,ALTA CAMINO,TRENT WHEELER,-,3,6,I WORK OUT (NZ),JOSEPH SUVALJKO,-,-,"2,728","2,148","1,075",615,"3,274","2,526",84,-,01-Feb,3.6,01-Feb,4.7,01-02-2008,37.1,1-2-8-6,248.4
2,19:45,1609,"SKY RACING MS PACE (SKY2) L5$ LT $4,000 PACE SKY2",1,EDMUN DEE,ALDO CORTOPASSI,2.7,1.3,4,OWNTHETHRONE,DONALD HARPER,-,2.2,5,SHEZLIKATERROR,MICHAEL GRANTHAM,-,3.1,6,SHADES OF ELLIE,CHRIS VOAK,-,-,"7,942","2,783","1,978",948,"4,548","4,030",178,-,01-Apr,15.3,01-Apr,18,01-04-2005,125.8,1-4-5-6,461.8
3,20:10,2569,"SOUTHERN CROSS AUSTEREO MS PACE (SKY1) NE HWOE $25,000+ PACE SKY1",7,ALTA RHETT,KAIDEN HAYTER,15.1,3.5,6,ANTERO,SHANNON SUVALJKO,-,1.8,8,OURBOYBART,EMILY SUVALJKO,-,1.5,4,SHEZA SPOILT MISS,DEAN MILLER,-,-,"6,998","3,282","2,215","1,231","6,871","6,708",320,-,06-Jul,23.2,07-Jun,54.2,07-06-2008,288.2,7-6-8-4,2127.8
4,20:35,2100,"SUNWISE DIGGERS CUP MS PACE (SKY1) HWOE LT $40,000 PACE SKY1",10,HOIHO (NZ),MARK JOHNSON,6.4,1.9,7,WALSH,AIDEN DE CAMPO,-,1.5,9,ANVIL ROLLOVER,DEAN MILLER,-,2.3,8,IT AINT ROYAL,MADELEINE YOUNG,-,-,"9,437","4,500","2,229","1,110","8,039","3,574",233,12.8K,07-Oct,10.2,10-Jul,29,10-07-2009,184.6,"10-7-9-8
                                            Partial C/O","5540.50
                                            (887.23)"
5,21:00,2569,WASBA COUNTRY OAKS 3YO WESTBRED FILLIES MS PACE (SKY) 3Y OPEN PACE SKY1,1,SPORTS PACKAGE,SHANE YOUNG,5.7,1.3,6,BLUE CHIP ADDA,AIDEN DE CAMPO,-,3.4,2,SUING YOU,GARY HALL JNR,-,1.2,10,BLOCKJORG,JOCELYN YOUNG,-,-,"8,470","3,148","2,122","1,618","9,195",11.6K,419,-,01-Jun,32.3,01-Jun,84.7,01-06-2002,121.6,1-6-2-10,790.5
6,21:25,2503,"TINT CITY - ARCTIC AIR SS PACE (SKY1) HWOE $6,000+ PACE SS SKY1",6,FORGOTTEN HIGHWAY (NZ),MICHAEL GRANTHAM,1.3,1.3,2,ADDA ROCKINHEAVEN,DEAN MILLER,-,2.9,3,PERLEE GATES,SHANNON SUVALJKO,-,-,1,BEIDERBECKE,EMILY SUVALJKO,-,-,"4,814","1,973","1,881","1,116","6,115","5,095",259,-,02-Jun,5,06-Feb,4.2,06-02-2003,17.9,6-2-3-1,36
7,21:58,1609,"CITY AND REGIONAL FUELS 2YO MS PACE (SKY1) 2Y NE HWOE $6,000+ PACE SKY1",5,LAVRA JOE,CHRIS LEWIS,2.2,1.5,3,SUGAR STREET (NZ),GARY HALL JNR,-,1.8,4,STAR OF WILLOUGHBY,CHRIS VOAK,-,-,2,PELIGROSO,RYAN BELL,-,-,"4,477","1,110","1,153",858,"3,146","3,085",-,-,03-May,4.3,05-Mar,6.9,05-03-2004,13.3,5-3-4-2,49.2
0,19:07,520,WATCH US ON TABTOUCH APP MDN,5,BURSWOOD BANDIT,J. DAILLY,5,3.3,7,BAGO MOSCATO,J. DAILLY,-,3.2,8,ORIENTAL RUNNER,E. CRUDELI,-,-,2,JETT'S CRACKER,B. GUMMOW,-,-,"7,696","2,421","1,402",976,"4,442","2,907",87,"3,901",05-Jul,27.8,05-Jul,44.6,05-07-2008,224.6,5-7-8-2,1143.9
1,19:30,380,AFRO FREEWAY GOTY 1983 GR5,8,HELLO I'M RONGO,B. MACLEAN,5.4,1.6,5,PROPER CHARLIE,J. IWANYK,-,2.2,4,SKIP THE LINE,B. COOK,-,1.04,3,CHAROS REWARD,J. RIGHETTI,-,-,"7,837","3,640","2,581",992,"5,760","5,001",200,-,05-Aug,20.3,08-May,31.4,08-05-2004,106.9,8-5-4-3,185.7
2,19:53,520,CAPOBIANCA GOTY 1991 NOV,6,VAN BUREN,J. MARSH,4.7,1.8,7,WEST ON AXEL,C. HALSE,-,1.8,3,WESTDALE HAILEE,J. DAILLY,-,1.04,9,MY BLACK WIDOW (4),J. DAILLY,-,-,"6,153","4,273","1,688",865,"6,554","4,156",98,-,06-Jul,15.3,06-Jul,24,06-07-2003,78.1,6-7-3-9,605.5
3,20:15,600,ELEKTRA GOTY 2008 MX 4/5,1,BLUE SUMMER SKY,P. STUART,3.4,1.6,6,BLACK SIGNATURE,C. HALSE,-,1.04,2,GOBLIN MONELLI,D. HOBBY,-,1.6,4,SNALLYGASTER,E. CRUDELI,-,-,"7,431","2,881","1,760",905,"7,324","5,579",154,-,01-Jun,5,01-Jun,11.2,01-06-2002,28.1,1-6-2-4,112.7
4,20:30,520,KEITH HARDING GR5,1,STEVE MONELLI,D. HOBBY,3.1,1.6,3,NEIL'S GIRL,T. ERENSHAW,-,6.4,6,ROLO MONELLI,D. HOBBY,-,2.6,2,WEREWOLF MONELLI,D. HOBBY,-,-,"8,109","5,389","2,095","1,486","7,535","5,602",151,14.4K,01-Mar,61.6,01-Mar,70.7,01-03-2006,487.5,1-3-6-2,2489.9
5,20:50,520,WA RACING HALL OF FAME 2017 GR5,7,FANTASTIC BRONX,N. CROOK,9.2,2.6,8,SUNSET MILO,D. HOBBY,-,2,1,WEST ON TINY,C. HALSE,-,2.5,3,COSMIC GAS,J. MARSH,-,-,"7,495","3,044","2,344",892,"7,689","4,883",219,-,07-Aug,16.6,07-Aug,33.4,07-08-2001,205.2,7-8-1-3,849.3
6,21:05,520,SEEKING JUSTICE MX 4/5,3,MORE MORE MORE,N. CROOK,6.1,1.8,1,EMPTY CHAMBER,T. ERENSHAW,-,3.2,2,INCREDIBLE HERO,F. FARRELL,-,1.7,8,GO GETTEM BINGO,B. ABERCROMBIE,-,-,"4,963","2,178","1,178",795,"5,783","4,093",142,-,01-Mar,26.9,03-Jan,50.3,03-01-2002,202.3,3-1-2-8,1251.5
