dist,double,exacta,exacta_dividends,exacta_results,first_4,first_4_dividends,first_4_results,place,quaddle,qulnella,qulnella_dividends,qulnella_results,race_name,rank_1_P,rank_1_W,rank_1_name,rank_1_num,rank_1_rider,rank_2_P,rank_2_W,rank_2_name,rank_2_num,rank_2_rider,rank_3_P,rank_3_W,rank_3_name,rank_3_num,rank_3_rider,sno,start,trifecta,trifecta_dividends,trifecta_results,win
5,21:00,2569,WASBA COUNTRY OAKS 3YO WESTBRED FILLIES MS PACE (SKY) 3Y OPEN PACE SKY1,1,SPORTS PACKAGE,SHANE YOUNG,5.70,1.30,6,BLUE CHIP ADDA,AIDEN DE CAMPO,-,3.40,2,SUING YOU,GARY HALL JNR,-,1.20,10,BLOCKJORG,JOCELYN YOUNG,-,-,"8,470","3,148","2,122","1,618","9,195",11.6K,419,-,1-6,32.30,1-6,84.70,1-6-2,121.60,1-6-2-10,790.50
6,21:25,2503,"TINT CITY - ARCTIC AIR SS PACE (SKY1) HWOE $6,000+ PACE SS SKY1",6,FORGOTTEN HIGHWAY (NZ),MICHAEL GRANTHAM,1.30,1.30,2,ADDA ROCKINHEAVEN,DEAN MILLER,-,2.90,3,PERLEE GATES,SHANNON SUVALJKO,-,-,1,BEIDERBECKE,EMILY SUVALJKO,-,-,"4,814","1,973","1,881","1,116","6,115","5,095",259,-,2-6,5.00,6-2,4.20,6-2-3,17.90,6-2-3-1,36.00
7,21:58,1609,"CITY AND REGIONAL FUELS 2YO MS PACE (SKY1) 2Y NE HWOE $6,000+ PACE SKY1",5,LAVRA JOE,CHRIS LEWIS,2.20,1.50,3,SUGAR STREET (NZ),GARY HALL JNR,-,1.80,4,STAR OF WILLOUGHBY,CHRIS VOAK,-,-,2,PELIGROSO,RYAN BELL,-,-,"4,477","1,110","1,153",858,"3,146","3,085",-,-,3-5,4.30,5-3,6.90,5-3-4,13.30,5-3-4-2,49.20
0,19:07,520,WATCH US ON TABTOUCH APP MDN,5,BURSWOOD BANDIT,J. DAILLY,5.00,3.30,7,BAGO MOSCATO,J. DAILLY,-,3.20,8,ORIENTAL RUNNER,E. CRUDELI,-,-,2,JETT'S CRACKER,B. GUMMOW,-,-,"7,696","2,421","1,402",976,"4,442","2,907",87,"3,901",5-7,27.80,5-7,44.60,5-7-8,224.60,5-7-8-2,1143.90
1,19:30,380,AFRO FREEWAY GOTY 1983 GR5,8,HELLO I'M RONGO,B. MACLEAN,5.40,1.60,5,PROPER CHARLIE,J. IWANYK,-,2.20,4,SKIP THE LINE,B. COOK,-,1.04,3,CHAROS REWARD,J. RIGHETTI,-,-,"7,837","3,640","2,581",992,"5,760","5,001",200,-,5-8,20.30,8-5,31.40,8-5-4,106.90,8-5-4-3,185.70
2,19:53,520,CAPOBIANCA GOTY 1991 NOV,6,VAN BUREN,J. MARSH,4.70,1.80,7,WEST ON AXEL,C. HALSE,-,1.80,3,WESTDALE HAILEE,J. DAILLY,-,1.04,9,MY BLACK WIDOW (4),J. DAILLY,-,-,"6,153","4,273","1,688",865,"6,554","4,156",98,-,6-7,15.30,6-7,24.00,6-7-3,78.10,6-7-3-9,605.50
3,20:15,600,ELEKTRA GOTY 2008 MX 4/5,1,BLUE SUMMER SKY,P. STUART,3.40,1.60,6,BLACK SIGNATURE,C. HALSE,-,1.04,2,GOBLIN MONELLI,D. HOBBY,-,1.60,4,SNALLYGASTER,E. CRUDELI,-,-,"7,431","2,881","1,760",905,"7,324","5,579",154,-,1-6,5.00,1-6,11.20,1-6-2,28.10,1-6-2-4,112.70
4,20:30,520,KEITH HARDING GR5,1,STEVE MONELLI,D. HOBBY,3.10,1.60,3,NEIL'S GIRL,T. ERENSHAW,-,6.40,6,ROLO MONELLI,D. HOBBY,-,2.60,2,WEREWOLF MONELLI,D. HOBBY,-,-,"8,109","5,389","2,095","1,486","7,535","5,602",151,14.4K,1-3,61.60,1-3,70.70,1-3-6,487.50,1-3-6-2,2489.90
5,20:50,520,WA RACING HALL OF FAME 2017 GR5,7,FANTASTIC BRONX,N. CROOK,9.20,2.60,8,SUNSET MILO,D. HOBBY,-,2.00,1,WEST ON TINY,C. HALSE,-,2.50,3,COSMIC GAS,J. MARSH,-,-,"7,495","3,044","2,344",892,"7,689","4,883",219,-,7-8,16.60,7-8,33.40,7-8-1,205.20,7-8-1-3,849.30
6,21:05,520,SEEKING JUSTICE MX 4/5,3,MORE MORE MORE,N. CROOK,6.10,1.80,1,EMPTY CHAMBER,T. ERENSHAW,-,3.20,2,INCREDIBLE HERO,F. FARRELL,-,1.70,8,GO GETTEM BINGO,B. ABERCROMBIE,-,-,"4,963","2,178","1,178",795,"5,783","4,093",142,-,1-3,26.90,3-1,50.30,3-1-2,202.30,3-1-2-8,1251.50
7,21:20,715,CAR PARK KEITH FFA,2,FLAKE MONELLI,D. HOBBY,1.10,1.04,1,GRACE ALI,C. HALSE,-,2.20,8,ROCKSTAR PATRIOT,P. STUART,-,-,6,WEST ON VIOLET,C. HALSE,-,-,"4,500","1,915","1,193",838,"4,062","3,753",111,-,1-2,2.20,2-1,2.90,2-1-8,5.90,2-1-8-6,6.60
8,21:42,380,LIVING IMAGE MDN,2,HASHTAGGED,D. IRWIN,11.80,3.60,3,SIN CITY CASH,J. RIGHETTI,-,4.00,4,SHE'S A WOMAN,B. MCPHERSON,-,-,1,DISASTROUS,B. MACLEAN,-,-,"5,310","1,913","1,634",876,"4,633","4,930",325,-,2-3,91.80,2-3,38.90,2-3-4,164.10,2-3-4-1,741.40
9,22:03,520,BARNEY STINSON MX 4/5,6,STAR BOOK,J. MARSH,1.80,1.30,8,PIXIE MONELLI,D. HOBBY,-,1.80,1,FANTASTIC GIGI,S. KAVANAGH,-,-,7,WESTDALE BANDIT,J. JORMANAINEN-DAVIS,-,-,"4,672","1,885","1,996",628,"5,009","4,634",193,-,6-8,2.70,6-8,5.60,6-8-1,18.40,6-8-1-7,114.10
10,22:18,380,FREEWAY ACE NOV,7,LAKOTA GUNDI,C. BENNETT,7.70,3.40,2,SAUSILITO,J. IWANYK,-,2.10,3,COMPENSATION,M. JULIEN,-,-,8,SUDOKU OPAL,J. RIGHETTI,-,-,"4,203","1,100","1,691",811,"4,638","4,937",351,-,2-7,10.50,7-2,24.30,7-2-3,282.80,7-2-3-8,1061.70
11,22:35,380,WATCH US ON SKY RACING FFA,6,FAB'S EXCISE,J. DAILLY,5.90,3.10,2,FREDDO MONELLI,D. HOBBY,-,2.80,7,DANICA KEEPING,S. WILLIAMS,-,-,8,JOKER POKER,S. WITHERS,-,-,"4,855","2,137","1,761","1,137","6,338","4,889",-,-,2-6,17.00,6-2,29.00,6-2-7,145.80,6-2-7-8,593.20
0,10:15,1400,NEDS SAME RACE MULTI HANDICAP BM78 HCP,6,JUMBO OZAKI,CRAIG WILLIAMS,4.00,1.80,9,SIKORSKY,DAMIEN OLIVER,-,3.20,14,ARCTIC SHOCK (NZ),JESSICA EATON (A2.0),-,4.10,7,WRITE YOUR NAME,TEODORE NUGENT (A2.0),-,-,72.7K,46.1K,40.2K,11.5K,79.2K,47.2K,16.4K,-,6-9,17.00,6-9,31.20,6-9-14,346.90,6-9-14-7,2767.80
1,10:50,1400,BLUE GUM FARM VOBIS GOLD DISTAFF 3UP SW+P F&M,6,CLARICE CLIFFS,JYE MCNEIL,3.50,1.60,4,SOMETHING SILVER,BEN MELHAM,-,3.30,2,PURE SCOT,CRAIG WILLIAMS,-,3.30,8,PART TIME LOVER,JAMIE KAH,-,-,67.7K,34.4K,31K,"9,259",65.7K,46.9K,"8,429",212K,4-6,45.10,6-4,61.30,6-4-2,699.80,6-4-2-8,3557.30
2,11:25,1200,SPENDTHRIFT AUSTRALIA VOBIS GOLD SPRINT 3UP SW+P,8,VAINSTREAM,NOEL CALLOW,11.60,2.90,12,STREET ICON,THOMAS STOCKDALE (A),-,9.10,3,TELEPLAY,MICHAEL DEE,-,3.50,4,ASHLOR,DANIEL STACKHOUSE,-,-,81.1K,49K,38.2K,13.6K,88.9K,57.2K,15.5K,-,8-12,344.90,8-12,620.10,8-12-3,7072.50,8-12-3-4,79218.90
3,12:00,2000,SUREWISE VOBIS GOLD HEATH 3UP SW+P,6,SENTIMENTALIST,DWAYNE DUNN,11.50,2.30,1,MR QUICKIE,DAMIEN OLIVER,-,1.20,7,THINK WE'RE DUE,BEN MELHAM,-,3.30,2,SOPRESSA,MARK ZAHRA,-,-,75.9K,37.8K,31.8K,11.6K,73.8K,55.7K,12.5K,-,1-6,10.30,6-1,32.40,6-1-7,231.40,6-1-7-2,1343.70
4,12:40,1600,IRT VOBIS GOLD MILE 3UP SW+P,3,SO SI BON,MARK ZAHRA,4.20,1.80,9,STREET SHEIK,BILLY EGAN,-,4.60,1,ICONOCLASM,CRAIG WILLIAMS,-,2.00,6,MAMZELLE TESS,BEN THOMPSON,-,-,115K,70.6K,48.3K,13.7K,118K,70.1K,16.3K,-,3-9,32.80,3-9,51.20,3-9-1,232.20,3-9-1-6,1344.50
5,13:20,1200,THE SHOWDOWN 2Y SW,2,KHOEKHOE,FRED W KERSLEY (A),13.90,4.20,10,RIVER NIGHT,JAMIE KAH,-,2.20,3,GALACTIC FURY,BEN ALLEN,-,12.10,12,MISS INBETWEEN,BEN MELHAM,-,-,115K,72.6K,46.8K,13.4K,109K,55.4K,13.7K,1.20M,2-10,38.80,2-10,76.80,2-10-3,2742.60,2-10-3-12,51021.70
6,14:00,1100,NEDS BEL ESPRIT STAKES LISTED HCP,8,WILLIAM THOMAS,MICHAEL DEE,10.60,3.40,10,HUMMA HUMMA,DANIEL STACKHOUSE,-,2.40,15,CORUSCATE,JYE MCNEIL,-,3.10,9,LYRE,MARK ZAHRA,-,-,137K,84.2K,48.3K,13.3K,116K,62K,16.7K,-,8-10,44.40,8-10,94.00,8-10-15,736.00,8-10-15-9,2538.00
7,14:40,1100,AVENEL EQUINE HOSPITAL VOBIS GOLD DASH 3UP SW+P,9,LANKAN STAR,DANIEL STACKHOUSE,19.10,4.60,16,PAUL'S REGRET,BEAU MERTENS,-,3.70,14,FELICIA,DAMIEN OLIVER,-,2.70,10,KNOWLES,CRAIG WILLIAMS,-,-,134K,73.2K,59.3K,16.9K,134K,64.7K,30.8K,-,9-16,100.90,9-16,271.10,9-16-14,3164.70,9-16-14-10,9031.30
8,15:15,1600,THE VOBIS SIRES GUINEAS 3UP SW,14,FLORENT,JAKE NOONAN,47.00,9.40,10,LEALE,BEAU MERTENS,-,7.50,12,AFFAIR TO REMEMBER,DAMIEN OLIVER,-,1.30,11,DON'TTELLTHEBOSS,BRETT PREBBLE,-,-,149K,76.1K,58.3K,18K,138K,87.7K,-,-,10-14,319.20,14-10,841.00,14-10-12,5194.40,14-10-12-11,54280.30
0,09:33,1640,HELP A NEIGHBOUR MAIDEN PLATE MDN-SW,5,CITY SMART,JAKE BAYLISS,2.80,1.20,2,PHOENIX RAIDER,MICHAEL MURPHY,-,3.00,6,MONSTER OF POWER,LARRY CASSIDY,-,1.70,7,VALIDAR,JAMES ORMAN,-,-,15.6K,"9,225","8,989","2,401",17.7K,14.9K,"2,556",-,2-5,16.80,5-2,22.20,5-2-6,85.20,5-2-6-7,483.50
1,10:08,2220,MILLERS SWIM SCHOOL BENCHMARK 90 HANDICAP BM90 HCP,2,BOOM BOOM EPIC,MADELEINE WISHART (A3.0),5.40,2.70,4,POPULIST,COREY BAYLISS (A2.0),-,1.10,6,TACTICAL MANUEVER,ADAM SEWELL,-,-,3,BROCSON,ADIN THOMPSON (A2.0),-,-,19.8K,"4,848","3,953","2,029","7,158","9,502",567,17.6K,2-4,3.30,2-4,8.00,2-4-6,49.20,2-4-6-3,98.40
2,10:43,1350,THANK YOU HEALTHCARE WORKERS QTIS TWO-YEARS-OLD HANDICAP 2Y  HCP,6,STAROSA,BAYLEE NOTHDURFT (A),12.50,3.90,1,TUMBLER RIDGE,JUSTIN HUXTABLE (A2.0),-,1.04,2,BROKEN HERO,BRAD STEWART,-,-,3,MISHANI EPIC,ADIN THOMPSON (A2.0),-,-,15.6K,"4,855","7,147","2,924",12.7K,15.1K,"1,210",-,1-6,9.20,6-1,48.90,6-1-2,44.70,6-1-2-3,125.50
3,11:18,1350,TAB QTIS THREE-YEARS-OLD MAIDEN PLATE 3Y MDN-SW,2,ANGUS THE BLACK,BAYLEE NOTHDURFT (A),1.60,1.04,6,HEARTS DENIED,ADIN THOMPSON (A2.0),-,2.20,7,LEO THE LION,ANDREW SPINKS,-,13.80,3,BARONET,SEAN CORMACK,-,-,21.4K,11.9K,"9,831","5,646",21.8K,18.2K,"1,317",-,2-6,5.20,2-6,4.20,2-6-7,169.90,2-6-7-3,772.80
4,11:53,1640,BERNBOROUGH ASCOT OPEN HANDICAP OPEN HCP,4,SABKHAT,JUSTIN HUXTABLE (A2.0),17.40,3.90,3,MAGNUFIGHTER,COREY BAYLISS (A2.0),-,2.00,2,GET STUCK IN,BAYLEE NOTHDURFT (A),-,-,8,COASTAL PRINCE,TAYLOR MARSHALL,-,-,20.1K,"7,963","7,056","4,474",16.7K,18.9K,"1,495",-,3-4,33.30,4-3,121.90,4-3-2,104.70,4-3-2-8,1675.40
