S.No.,Location Code,Location,Start,Distance,Race Name,Rank 1 Number,Rank 1 Name,Rank 1 Rider,Rank 1 W,Rank 1 P,Rank 2 Number,Rank 2 Name,Rank 2 Rider,Rank 2 W,Rank 2 P,Rank 3 Number,Rank 3 Name,Rank 3 Rider,Rank 3 W,Rank 3 P,Rank 4 Number,Rank 4 Name,Rank 4 Rider,Rank 4 W,Rank 4 P,Win,Place,Qulnella,Exacta,Trifecta,First 4,Double,Quaddle,Qulnella Results,Qulnella Dividends,Exacta Results,Exacta Dividends,Trifecta Results,Trifecta Dividends,First 4 Results,First 4 Dividends
0,ARO,Fonner Park - USA,07:08,1308,FONNER PARK - DIRT CLAIMING,6,AIR ASSAULT (USA),ARMANDO MARTINEZ,8.40,2.50,10,BIG HEARTED FACTOR (USA),JAKE OLESIAK,-,1.40,4,DIESEL'S PRIZE (USA),CHRIS FACKLER,-,2.10, , , , , ,"1,764",586,390,286,"1,761",48,-,-,6-10,10.60,6-10,27.70,6-10-4,133.00,6-7,46.00
1,ARO,Fonner Park - USA,07:41,1207,FONNER PARK - DIRT CLAIMING,7,FRANKI D ORO (USA),DAKOTA WOOD,3.10,1.50,1,TERRI'S TEMPER (USA),RICARDO MARTINEZ,-,3.40,8,WACCA WACCA WACCA (USA),JARRED JOURNET,-,1.90, , , , , ,"1,600",568,258,274,"1,717",64,155,-,1-7,17.90,7-1,36.50,7-1-8,122.70,6-7,46.00
2,ARO,Fonner Park - USA,08:10,1207,FONNER PARK - DIRT CLAIMING,5,MAGNANIMUS MAN (USA),JAKE OLESIAK,2.10,1.70,7,HOLIDAY JOKE (USA),RICARDO MARTINEZ,-,4.20,8,EMPIRICAL DATA (USA),LUIS RODRIGUEZ,-,3.70, , , , , ,"1,339",556,317,246,"2,169",40,-,-,5-7,40.40,5-7,111.30,5-7-8,403.60,7-5,5.10
3,ARO,Fonner Park - USA,08:37,1207,FONNER PARK - DIRT ALLOWANCE OPT CLAIMING,5,LET'S GO PLACES (USA),RICARDO MARTINEZ,32.40,5.20,8,INDY N ROSES (USA),DAKOTA WOOD,-,1.80,10,MAY FLOWERS (USA),CHRIS FACKLER,-,1.70, , , , , ,"1,368",527,503,403,"2,678",62,-,-,5-8,103.50,5-8,125.80,5-8-10,800.20,5-5,64.00
4,ARO,Fonner Park - USA,09:06,1609,FONNER PARK - DIRT CLAIMING,6,BIG EGYPT (USA),JAKE OLESIAK,4.00,1.50,8,SPUNKY KITTEN (USA),SCOTT BETHKE,-,3.10,7,BEST TRICK YET (USA),RICARDO MARTINEZ,-,5.20, , , , , ,"2,078",846,691,533,"3,685",-,-,-,6-8,31.70,6-8,41.80,6-8-7,680.90,"5-6
                                            Partial C/O","100.00
                                            (38.89)"
0,BR,Doomben,09:23,2240,HAPPY RETIREMENT REDZEL MAIDEN PLATE MDN-SW,6,STEEL PIER,ADIN THOMPSON (A),1.60,1.10,2,LIKEABEEL,MICHEAL HELLYER,-,10.60,5,JERRY ZANDA,BAYLEE NOTHDURFT (A),-,1.20,7,COMZELADY,DALE SMITH,-,-,13.4K,"5,805","5,204","2,059",10.8K,"9,630","2,004",-,2-6,71.40,6-2,93.20,6-2-5,391.00,6-2-5-7,2072.50
1,BR,Doomben,09:58,1050,TAB QTIS TWO-YEARS-OLD MAIDEN PLATE 2Y MDN-SW,7,HAMILTON HILL,SEAN CORMACK,3.90,1.80,10,SHOOTING ROSES (NZ),JUSTIN HUXTABLE (A),-,1.10,9,ROMAN REIGN,MICHAEL MURPHY,-,7.60,3,KIPCHOGE,BAYLEE NOTHDURFT (A),-,-,12.6K,"5,473","5,057","2,153",11.7K,"9,689","1,445",-,7-10,4.60,7-10,9.50,7-10-9,349.70,7-10-9-3,966.80
0,MDB,The Meadows,10:26,525,SKY RACING (1-3 WIN)(250+RANK) HT1 RSDWHT,1,KUDOS BALE,S. GRENFELL,12.30,2.10,3,MEPUNGA MISSILE,J. BRITTON,-,1.04,2,ASTON SELECT,M. CHILCOTT,-,2.20,5,ASTON ELSIE,S. PAYNE,-,-,"3,760","2,294","2,205",849,"5,193","5,908",156,"3,234",1-3,6.50,1-3,30.90,1-3-2,92.10,1-3-2-5,516.80
2,BR,Doomben,10:33,1050,THANK YOU SCHOOL TEACHERS QTIS TWO-YEARS-OLD MAIDEN PLATE 2Y MDN-SW,5,AVIEMORE,SEAN CORMACK,9.50,3.00,2,CORVO,ANTHONY ALLEN,-,3.10,10,SIP IT SLOW,JAKE BAYLISS,-,1.60,11,SWEET RHAPSODY,JAMES ORMAN,-,-,17.4K,"6,104","5,620","2,174",10.7K,"9,432","1,090",17.3K,2-5,48.20,5-2,193.60,5-2-10,977.60,5-2-10-11,6266.00
0,AD,Murray Bridge,10:40,300,TABCORP MAIDEN STAKE MDN,2,GRIT BLASTER,R. HARNAS,2.70,1.04,5,LUBOKO,D. ANDERSON,-,1.30,7,SENIOR SANCHEZ,R. HARNAS,-,1.50,6,KICK UP,D. ANDERSON,-,-,"3,934","1,364","1,176",407,"2,658","3,900",19,174,2-5,3.90,2-5,11.30,2-5-7,19.40,2-5-7-6,54.50
1,MDB,The Meadows,10:45,525,TAB.COM.AU (1-3WIN)(250+RANK) HT2 RSDWHT,6,MEPUNGA FELIX,J. BRITTON,3.30,1.40,1,LILY POTTER,L. COCKERELL,-,1.40,5,ROCKSTAR CARMODY,A. DAILLY,-,1.30,7,ASTON ATHENA,T. WOMANN,-,-,"4,600","2,117","1,804",692,"3,815","3,705",151,-,1-6,5.00,6-1,12.50,6-1-5,47.80,6-1-5-7,177.50
0,SR,Canterbury,10:50,1200,HYLAND RACE COLOURS HANDICAP 2YF MDN HCP,5,BELLEVUE STAR,TIM CLARK,5.90,1.70,3,ELIZABEEL,ROBBIE DOLAN (A1.5),-,1.30,1,KIKU,BRENTON AVDULLA,-,1.20,8,WILD IRISH,GLEN BOSS,-,-,16.9K,"8,182","6,351","2,348",10.4K,"9,188","1,873",30.6K,3-5,12.30,5-3,43.10,5-3-1,74.20,5-3-1-8,363.10
1,AD,Murray Bridge,10:55,300,DAISH IRRIGATION AND FODDER MAIDEN STAKE MDN,6,WHEEL BURNER,M. STEWART,3.10,1.20,7,TIBETAN,R. HARNAS,-,2.60,2,FLORAL NOTES,D. ANDERSON,-,-,1,CAWBOURNE HORSE,L. RASMUSSEN,-,-,"4,327","1,330","1,098",332,"2,215","2,784",20,-,6-7,6.10,6-7,12.40,6-7-2,60.40,6-7-2-1,96.20
0,MR,Bendigo,11:00,1100,HYGAIN 2YO HANDICAP 2Y HCP,2,THE LAST CHARGE,BEAU MERTENS,9.40,2.60,9,RIVER TWAIN,DAMIEN OLIVER,-,3.50,11,TAYLOR'S DREAM,JYE MCNEIL,-,2.40,5,MASTER BARTHOLDI,BRETT PREBBLE,-,-,25.1K,15K,11.3K,"3,615",20.8K,12.3K,"5,579",79.5K,2-9,55.30,2-9,90.70,2-9-11,1059.20,2-9-11-5,2833.10
2,MDB,The Meadows,11:04,525,MEADOWS CONFERENCE & EVENTS CENTRE MX 6/7,8,SECRET CHIMP,G. BERRY,4.50,1.30,2,GRIME TIME ZEUS,G. MANNION,-,3.20,7,DIAMOND CARTEL,C. FULFORD,-,2.70,6,SIXTIES ROCKER,R. MOORE,-,-,"3,948","1,333","1,209",621,"3,927","4,452",84,-,2-8,49.90,8-2,68.10,8-2-7,321.10,8-2-7-6,960.30
3,BR,Doomben,11:08,1200,GENERAL NEDIYM MAIDEN PLATE MDN-SW,4,DAULAT TAI PANAZIZ,MARK DU PLESSIS,4.60,1.80,8,AROSEFORZOU,DALE SMITH,-,6.70,10,KOKOPO KITTY,LUKE TARRANT,-,2.40,13,GEOVANNI (EM1),ANTHONY ALLEN,-,-,13.4K,"8,272","4,418","1,380","9,206","6,379","1,157",-,4-8,90.10,4-8,100.30,4-8-10,779.00,"4-8-10-13
                                            Partial C/O","4905.20
                                            (1259.30)"
2,AD,Murray Bridge,11:12,300,SKY RACING STAKE GR6,7,HELLO BEAUTIFUL,B. STAMENKOVIC,1.40,1.04,6,BABY BROOKE,A. MIEGEL,-,2.30,4,NIGHT GLOW,K. BEWLEY,-,-,8,AMERICAN MOVIE,J. HAAGMANS,-,-,"2,175",763,556,540,"1,842","2,891",5,-,6-7,3.30,7-6,4.10,7-6-4,11.50,7-6-4-8,13.70
0,MTX,Stawell,11:18,2180,STAWELL WINDOWS & GLASS 3YO & OLDER TROT 3Y AND OLDER,5,MAORI AMOUR,PADDY MEADE,7.10,3.00,3,INDEFENSIBLE,GRANT CAMPBELL,-,1.90,4,MAJESTIC ACHIEVER (NZ),ASHLEY AINSWORTH,-,-,8,WISP OF SMOKE,JASON LEE,-,-,"2,734","1,000",769,393,"2,954","3,234",259,"4,561",3-5,20.40,5-3,20.80,5-3-4,325.10,5-3-4-8,582.10
3,MDB,The Meadows,11:22,525,TOP CAT VIDEO HT1 GR5 HT,4,BUBBLES,K. LEEK,3.70,2.00,5,IAGO BALE,A. DAILLY,-,1.10,7,TIGGERLONG GINGA,S. GRENFELL,-,-,8,SUVLA BAY,B. REID,-,-,"3,589","1,355",937,560,"2,508","2,550",39,-,4-5,2.80,4-5,7.20,4-5-7,25.60,4-5-7-8,86.60
1,SR,Canterbury,11:25,1200,TOO DARN HOT @ DARLEY HANDICAP 2YCG MDN HCP,4,SAUVESTRE,BRENTON AVDULLA,11.70,3.30,3,INVEIGLE,TIM CLARK,-,1.70,6,SWITCH PLAY (NZ),SAM CLIPPERTON,-,7.30,1,ACHIEVER,NASH RAWILLER,-,-,15.1K,"7,630","5,121","1,512","8,116","8,071","1,556",-,3-4,28.00,4-3,70.90,4-3-6,853.60,4-3-6-1,3309.90
3,AD,Murray Bridge,11:30,300,METRO ROLLER DOORS STAKE GR6,1,KISSES FOR CHLOE,R. FEWINGS,1.10,1.04,4,GEMTREE ABLAZE,I. REHMANN,-,2.70,6,BOTTLED FURY,T. HINRICHSEN,-,-,8,SLEEPWALK DANCE,J. HAAGMANS,-,-,"3,610","1,535",916,683,"2,527","5,697",6,-,1-4,3.10,1-4,3.70,1-4-6,12.00,1-4-6-8,25.40
1,MR,Bendigo,11:35,1000,THE BIG SCREEN COMPANY MAIDEN PLATE MDN-SW,11,MONETIZING,DAMIEN OLIVER,1.60,1.20,5,DYNAMIC DUO,JAKE NOONAN,-,1.20,3,LIVE LIKE,JAMIE KAH,-,2.00,2,ALL STARR COURAGE,JORDAN CHILDS,-,-,22.1K,"8,762","9,774","3,412",26.7K,23.9K,"3,940",-,5-11,1.50,11-5,2.30,11-5-3,6.10,11-5-3-2,22.60
4,MDB,The Meadows,11:39,525,TAB MULTIPLIER HT2 GR5 HT,2,ELVISA BALE,A. DAILLY,10.70,4.00,8,SHANLYN ROSE,D. KLEMKE,-,3.10,4,DUNDEE JOKER,G. SCOTT-SMITH,-,-,3,TOBY TIME,A. AZZOPARDI,-,-,"3,495","1,309","1,274",678,"3,886","4,912",91,"5,069",2-8,39.80,2-8,48.80,2-8-4,539.80,2-8-4-3,1381.10
4,BR,Doomben,11:43,1350,MOSSMAN QTIS THREE-YEARS-OLD HANDICAP 3Y  HCP,2,SHADOW OF TIME,DALE SMITH,3.10,1.90,5,REBEL ROCK,TAYLOR MARSHALL,-,2.00,6,FLAME PRINCESS,LUKE TARRANT,-,-,9,ISABELLA'S SPRING,COREY BAYLISS (A),-,-,14.8K,"4,655","4,959","1,249","8,510",17.3K,"1,217",-,2-5,2.60,2-5,5.00,2-5-6,18.00,2-5-6-9,109.40
4,AD,Murray Bridge,11:47,300,MURRAY BRIDGE COMMUNITY CLUB STAKE GR6,1,JABARI,N. MANN,2.30,1.80,4,CAWBOURNE TOE,T. RASMUSSEN,-,1.20,2,SNEAKY OPTION,D. TURNER,-,-,7,LASER GUY,I. REHMANN,-,-,"4,971","1,133",957,418,"2,025","2,652",17,217,1-4,2.80,1-4,5.50,1-4-2,20.60,1-4-2-7,41.70
0,AR,Mount Gambier,11:50,900,DO IT YOURSELF FENCING / SABOIS MAIDEN PLATE MDN-SW,1,RANGER FRANK,SHAYNE CAHILL,-,4.50,4,FREE TO DANCE,DYLAN CABOCHE (A),-,-,6,WYNTER LADY,ANNA JORDSJO (A),-,-,5,QUIP,TEAGAN VOORHAM (A1.5),-,-,12.8K,Aban.,"1,229",703,"2,795","5,373",815,"8,646",1-4,3.40,1-4,11.60,1-4-6,14.20,1-4-6-5,20.00
1,MTX,Stawell,11:53,2180,STAWELL NEWSAGENCY TROT NR 52 TO 65,4,GUS AN MAORI,SOFIA ARVIDSSON,2.20,1.30,3,DOWN UNDER EARL,JACKIE BARKER,-,1.80,5,ICICLE,MICHAEL BELLMAN,-,1.80,8,DEFENCE GOT JUMPED,GRANT CAMPBELL,-,-,"5,410","1,759","1,441",734,"3,477","4,086",270,-,3-4,14.50,4-3,19.70,4-3-5,77.50,4-3-5-8,1678.80
5,MDB,The Meadows,11:57,600,HOME OF TEN GROUP 1'S MX 6/7,4,INDULGE,N. CACHIA,6.00,2.30,8,FAIRYTALE WISH,S. CACHIA,-,2.00,3,WAKE UP,P. MATHIESON,-,15.70,1,FINE TACTICS,S. COMBRIDGE,-,-,"4,981","2,104","1,728",853,"4,558","3,775",224,-,4-8,11.80,4-8,31.10,4-8-3,647.70,4-8-3-1,2789.50
2,SR,Canterbury,12:00,1550,STAR TURN @ VINERY HANDICAP 3Y MDN HCP,8,SHUHOOD,TIM CLARK,6.00,2.10,7,PERFECT IMPRESSION,NASH RAWILLER,-,1.80,10,RATHVILLY MISS,TOMMY BERRY,-,2.00,2,BOB'S YOUR UNCLE,SAM CLIPPERTON,-,-,21.1K,10.5K,"7,025","2,148",10.5K,10.7K,"2,032",-,7-8,8.40,8-7,19.10,8-7-10,115.10,8-7-10-2,1076.20
5,AD,Murray Bridge,12:05,350,MONTEITH MEATS STAKE GR6,8,FOOTROT FOSSE,B. STAMENKOVIC,1.70,1.04,7,HOT SAMBUCA,T. RASMUSSEN,-,4.30,6,CAWBOURNE TERRY,T. RASMUSSEN,-,-,3,VICTA NORMAN,M. GINIOTIS,-,-,"3,392","1,252","1,305",689,"2,810","3,335",91,-,7-8,6.40,8-7,5.80,8-7-6,15.90,8-7-6-3,69.00
2,MR,Bendigo,12:10,1000,SMARTLINE FINANCE 3YO BM70 HANDICAP 3Y BM70 HCP,4,MASKED CRUSADER,JAMES WINKS,1.70,1.10,1,IDIDITFORLOVE,LAURA LAFFERTY (A2.0),-,2.30,7,KIATA,REGAN BAYLISS,-,1.70,5,BRAY STREET BOSS,JAMIE KAH,-,-,31K,13.7K,12.4K,"4,910",27K,23.2K,"5,896",-,1-4,7.80,4-1,9.60,4-1-7,35.30,4-1-7-5,285.50
6,MDB,The Meadows,12:14,525,DOWNLOAD THE NEW WATCHDOG APP HT3 GR5 HT,1,TOUGH TEARS,R. BRITTON,1.80,1.04,3,SEVEN ENEMIES,D. KLEMKE,-,6.40,4,ZIPPING ATTICUS,D. GEALL,-,-,8,ZEKEL BALE,S. GRENFELL,-,-,"4,910","1,710","1,651","1,027","3,924","5,512",182,-,1-3,14.10,1-3,22.90,1-3-4,71.90,1-3-4-8,233.40
5,BR,Doomben,12:18,1350,WRITTEN TYCOON CLASS 1 PLATE CL1-SW,3,MUSIC AWARD,TAYLOR MARSHALL,12.80,3.00,7,COME IN SPINNER (NZ),SEAN CORMACK,-,3.10,1,STAYING BLACK (NZ),JAMES ORMAN,-,1.90,10,PULL ANCHOR,BAYLEE NOTHDURFT (A),-,-,16.8K,"7,580","6,906","1,967",13.4K,11.3K,"1,312",-,3-7,77.40,3-7,158.80,3-7-1,919.50,3-7-1-10,2394.40
6,AD,Murray Bridge,12:22,300,RURAL CITY OF MURRAY BRIDGE STAKE GR5,8,WINSOME BAILEY,T. RASMUSSEN,7.50,2.00,5,WHAT A WISH,L. RASMUSSEN,-,2.20,6,CAWBOURNE GET UP,L. RASMUSSEN,-,1.40,2,SPRING WARATAH,R. FLETCHER,-,-,"4,621","1,424","1,315",583,"2,866","3,371",9,-,5-8,34.40,8-5,53.40,8-5-6,155.80,8-5-6-2,413.00
1,AR,Mount Gambier,12:25,1200,THE MIDFIELD GROUP / SABOIS MAIDEN PLATE MDN-SW,2,KNAVESMIRE,TEAGAN VOORHAM (A1.5),4.60,2.60,1,FENCELINE,SHAYNE CAHILL,-,1.50,4,BACK IN ACTION,CAITLIN JONES (A),-,-,3,VARACALLI LAD,LACHLAN NEINDORF (A1.5),-,-,19K,"4,978","4,072","1,169","4,984","5,367",781,-,1-2,3.30,2-1,6.30,2-1-4,33.10,2-1-4-3,81.90
2,MTX,Stawell,12:28,1785,CHRIS N DI'S BAKERY PACE NR 45 TO 50 PACE,4,FLAMING LUCKY,JASON AINSWORTH,9.50,2.20,10,ASHARAH,ASHLEY AINSWORTH,-,2.80,6,A VAPAR STORM,JAMES HERBERTSON,-,1.04,1,SHEZAROCKNROLLIN,GRANT CAMPBELL,-,-,"3,937","1,778",633,437,"3,252","3,174",221,-,4-10,50.30,4-10,88.70,4-10-6,249.70,4-10-6-1,1226.00
7,MDB,The Meadows,12:32,600,FEIKUAI GREYHOUNDS MX 4/5,2,BLUE SHADOWS,D. GEALL,2.60,1.40,4,ROCKSTAR GARETH,A. DAILLY,-,1.80,6,ROCKSTAR QUINN,A. DAILLY,-,1.90,3,KISS ME RAZLEY,G. MANNION,-,-,"4,329","1,523","2,099",694,"4,244","4,533",82,-,2-4,6.20,2-4,9.20,2-4-6,58.50,2-4-6-3,410.80
3,SR,Canterbury,12:35,1900,IRON JACK HANDICAP BM70 HCP,7,MIYAKE,BRENTON AVDULLA,7.00,2.20,6,FLINDERS,JAMES MCDONALD,-,1.50,1,HARPO MARX (IRE),TIM CLARK,-,4.00,4,MAYBACH,ADAM HYERONIMUS,-,-,20.4K,10.6K,"6,439","1,923",13.1K,10.3K,"1,727",-,6-7,9.40,7-6,19.60,7-6-1,148.50,7-6-1-4,812.80
0,PR,Ascot,12:39,1400,SEACORP HANDICAP 3Y 0MWLY 54+ HCP,4,TRADENSIA,KYRA YUILL,1.90,1.04,3,CARABINIER,CRAIG STAPLES,-,6.50,1,POWER OF ST GEORGE,CHLOE AZZOPARDI (A2.0),-,-,6,MISSALFIE,JASON WHITING,-,-,11.1K,"4,052","4,097","1,069","6,859","6,715",670,15.1K,3-4,11.50,4-3,19.20,4-3-1,33.40,4-3-1-6,113.30
7,AD,Murray Bridge,12:42,300,YOU. ME. 6 WEEKS. MIXED STAKE 3/4/5,6,DIAMOND HEART,L. RASMUSSEN,1.80,1.60,7,DEMOLISHER,D. ANDERSON,-,2.00,3,KING JEREMY,T. BRADLEY,-,2.70,5,NIRIMBA PIRATE,L. RASMUSSEN,-,-,"2,387",823,"1,565",191,"1,827","1,858",28,-,6-7,13.10,6-7,8.30,6-7-3,69.50,6-7-3-5,367.20
3,MR,Bendigo,12:45,1300,BET365 TOP TOTES PLUS 3YO FILLIES BM70 HCP 3YF BM70 HCP,2,LUNAKORN,MARK ZAHRA,1.70,1.20,3,TALENTED,DEAN YENDALL,-,2.40,1,HINT OF MINT,CAMPBELL RAWILLER (A2.0),-,1.90,4,LITTLE MERMAID,BILLY EGAN,-,-,35.2K,18.2K,11.7K,"4,352",26.6K,21.9K,"4,416",-,2-3,10.40,2-3,12.20,2-3-1,47.10,2-3-1-4,89.60
8,MDB,The Meadows,12:49,525,PARTY ON THE DECK MX 4/5,4,KING COLT,G. SCOTT-SMITH,1.40,1.00,8,ROLLO RAGNAR,T. CURTAIN,-,1.80,5,MILLY MAC,J. MCINTYRE,-,-,7,SMART MARY,J. FREWIN,-,-,"3,531","1,499","1,664",803,"4,004","5,133",63,-,4-8,1.20,4-8,2.50,4-8-5,8.20,4-8-5-7,22.90
6,BR,Doomben,12:53,1650,LION HUNTER BENCHMARK 65 HANDICAP BM65 HCP,10,COULDN'T REFUSE,MARK DU PLESSIS,3.50,1.40,4,ENTERPRISE JACK,SEAN CORMACK,-,2.10,5,JOYMAKER,JAMES ORMAN,-,2.50,8,SUNNY ST CLOUD,BRAD STEWART,-,-,27.2K,16K,10.1K,"2,425",16.1K,10.2K,"1,358",50.3K,4-10,14.10,10-4,25.10,10-4-5,126.20,10-4-5-8,1434.60
8,AD,Murray Bridge,12:57,300,KURT DONSBERG PHOTOGRAPHY STAKE GR6,7,CRAGGY ISLAND,R. FEWINGS,2.00,1.10,8,TILLY'S CHARM,B. STAMENKOVIC,-,1.60,3,DANYO'S MAZIE,A. MIEGEL,-,1.80,4,DOUBLE ATTITUDE,D. TURNER,-,-,"2,492",929,558,551,"2,439","2,615",34,-,7-8,1.90,7-8,3.50,7-8-3,20.70,7-8-3-4,105.80
2,AR,Mount Gambier,13:00,1550,DISTRICT COUNCIL OF GRANT / SABOIS MAIDEN PLATE MDN-SW,4,SUPERHOOPS,LACHLAN NEINDORF (A1.5),8.50,2.10,6,STRYKER STAR,CAITLIN JONES (A),-,3.70,8,EURO FLASH,ERAN BOYD,-,2.00,2,PROVOCATIVE MAN,RYAN HURDLE,-,-,"7,646","3,518","1,998",882,"4,757","3,264",530,-,4-6,48.80,4-6,83.10,4-6-8,831.30,4-6-8-2,2465.00
3,MTX,Stawell,13:03,2180,BI-RITE ELECTRICAL 3YO PACE NR 46 TO 55 PACE,8,JILLIBY ZAGAMI,GLEN CRAVEN,4.40,1.40,2,THE SPORTZ STAR,KERRYN MANNING,-,2.30,9,MORRISONS DREAM,JAMES HERBERTSON,-,1.10,5,SHE WILL WANTANO,MICHAEL BELLMAN,-,-,"3,920","1,639","1,169",557,"3,534","3,554",300,-,2-8,35.60,8-2,52.30,8-2-9,154.40,8-2-9-5,313.40
0,CRB,Darwin,13:05,1300,SITZLER TROBIS HANDICAP CL2 HCP,1,PASEETO,JARROD TODD,3.20,1.30,6,CALL ME LEGEND,TERRY TREICHEL,-,1.50,2,COUNT OF ESSEX,PAUL SHIERS,-,1.70,4,CINOMENM,WAYNE DAVIS,-,-,"4,236","1,547","1,650",279,"3,015","2,363",260,-,1-6,3.60,1-6,8.70,1-6-2,19.10,1-6-2-4,79.60
9,MDB,The Meadows,13:07,525,THEMEADOWS.ORG.AU HT4 GR5 HT,1,ZIPPING HAMISH,C. JONES,3.20,1.20,5,FEARLESS,J. BARBARA,-,1.70,7,ATLANTIC JEWEL,G. BERRY,-,-,2,ERNESTO BALE,C. GRENFELL,-,-,"2,821",782,759,475,"1,942","2,294",147,-,1-5,2.00,1-5,5.20,1-5-7,21.30,1-5-7-2,65.70
4,SR,Canterbury,13:10,1550,SKY RACING ACTIVE HANDICAP F&M BM72 HCP,2,LOVESEAT (NZ),HUGH BOWMAN,4.10,1.20,3,REGIMENTAL BAND,JAMES MCDONALD,-,1.60,9,BENFICA MAID,GLEN BOSS,-,2.30,7,ACCOY,RACHEL KING,-,-,20.8K,12.5K,"7,575","2,603",11.1K,10.4K,"1,471",78K,2-3,10.10,2-3,20.60,2-3-9,119.10,2-3-9-7,921.40
1,PR,Ascot,13:14,1400,TABTOUCH BETTER YOUR BET MAIDEN 2UP MDN SW,2,IMPERIALISM,WILLIAM PIKE,3.60,1.30,6,ROMAN FLIRT,CHRIS GRAHAM (A3.0),-,2.20,1,HOMELINE,KYRA YUILL,-,39.40,10,OCEAN CANDY,CLINT JOHNSTON-PORTER,-,-,15K,"8,477","4,194","1,429",10.5K,"7,458","1,102",-,2-6,4.70,2-6,10.00,2-6-1,382.50,2-6-1-10,2607.20
9,AD,Murray Bridge,13:17,300,FOLLOW THEDOGSSA ON TWITTER (N/P) STAKE N/P,8,DUNKIRK,M. PAYNE,3.70,1.80,2,EMERLEY JOSE,L. BATES,-,4.70,4,GEMTREE DYNAMO,I. REHMANN,-,-,3,ZOOMETRICAL,T. SARGENT,-,-,"1,338",482,433,143,"1,123",978,-,-,2-8,49.00,8-2,34.50,8-2-4,191.50,8-2-4-3,533.60
4,MR,Bendigo,13:20,1300,DEARAUGO AND LEA ELECTRICAL BM64 HANDICAP BM64 HCP,3,REINE HAPPY,KIRAN QUILTY (A4.0),33.50,7.00,8,EVENING GLORY,MARK ZAHRA,-,1.80,5,BLENDERS EDITION,DAMIEN OLIVER,-,2.20,2,MICKEY BLUE EYES,WILL PRICE (A1.5),-,-,30.7K,19.9K,11K,"3,169",19.9K,11K,"6,339",256K,3-8,44.60,3-8,139.30,3-8-5,1221.50,3-8-5-2,4725.90
10,MDB,The Meadows,13:24,525,JOIN THE 525 CLUB NOW HT5 GR5 HT,2,WALLBANGER,A. LANGTON,-,1.04,1,ANGIE LING,S. BAUER,-,-,8,CHILL OUT WEBBY,J. CHILCOTT,-,-,7,CRACKERJACK DAZA,D. WEBBER,-,-,"6,980",Aban.,675,419,"1,960","2,261",-,-,1-2,2.40,2-1,2.60,2-1-8,4.90,2-1-8-7,4.00
7,BR,Doomben,13:28,1050,BRAVE WARRIOR BENCHMARK 62 HANDICAP BM62 HCP,12,DON'TDIE WONDERING,MARK DU PLESSIS,6.50,2.80,4,THE WILD ONE,STEPHANIE THORNTON (A),-,1.40,8,CAILINI,BAYLEE NOTHDURFT (A),-,1.70,13,SKYE AND ME (EM1),JUSTIN HUXTABLE (A),-,-,22.5K,11.6K,"8,571","2,562",15.7K,12.5K,"1,105",-,4-12,13.40,12-4,23.90,12-4-8,106.40,12-4-8-13,1603.10
0,SDX,Grafton,13:32,305,LADBROKES MAIDEN MDN,1,LIZARD LICKER,R. ULRICK,6.90,1.60,7,PRETTY PAWS,J. CORRIGAN,-,2.00,2,CLOVER POPPA,C. SUPPLE,-,5.40,5,DANIELA WALSH,K. BATES,-,-,"3,153",968,931,334,"1,832","1,148",1,88,1-7,19.80,1-7,20.60,1-7-2,270.20,1-7-2-5,726.70
3,AR,Mount Gambier,13:35,1800,SCOTT GROUP OF COMPANIES BENCHMARK 68 HANDICAP (HEAT 12 PROV BM68 HCP HEAT 12 PROVINCIAL SU,4,HASTA LA FIORENTE,TEAGAN VOORHAM (A1.5),2.70,1.90,3,DESIDERO,LACHLAN NEINDORF (A1.5),-,1.60,2,EMIL,SHAYNE CAHILL,-,-,1,MISTA HOLYFIELD,RYAN HURDLE,-,-,10.2K,"2,300","1,984",869,"3,765","4,172",488,17.3K,3-4,3.00,4-3,4.60,4-3-2,11.50,4-3-2-1,15.50
4,MTX,Stawell,13:38,1785,HYGAIN FEEDS PACE NR 51 TO 54 PACE,8,RAZS VEYRON,GRANT CAMPBELL,4.70,1.40,1,WANTED LADY,JAMES HERBERTSON,-,1.04,6,GIRLS IN CHARGE,MICHAEL BELLMAN,-,3.00,9,ESSPE SUPREME,JASON AINSWORTH,-,-,"4,398","2,332","1,114",677,"4,132","4,107",273,10.4K,1-8,2.60,8-1,5.60,8-1-6,44.00,8-1-6-9,214.50
1,CRB,Darwin,13:40,1300,SILKS HANDICAP BM76 HCP,1,HIGH COST,TERRY TREICHEL,2.00,2.00,3,TYCOON DANCER,PAUL SHIERS,-,1.04,5,MEAZZA,KIM GLADWIN,-,-,6,CHARLIE CAT,VANESSA ARNOTT,-,-,"8,266","1,967","1,475",418,"1,978","2,223",88,"1,696",1-3,2.40,1-3,7.00,1-3-5,34.00,1-3-5-6,102.20
0,BDX,Albion Park,13:42,395,SENNACHIE @ STUD - STEVE WHITE MDN HT,4,STAND IN MAIL,M. HEILBRONN,6.10,2.20,5,SPECIAL BILL,C. ELSON,-,1.20,8,TZARDOM,A. OSHYER,-,-,2,REAL DEMON,J. HENZELL,-,-,"1,507",207,387,173,824,"1,006",4,52,4-5,5.70,4-5,38.20,4-5-8,65.40,4-5-8-2,259.90
