S.No.,Location Code,Location,Start,Distance,Race Name,Rank 1 Number,Rank 1 Name,Rank 1 Rider,Rank 1 W,Rank 1 P,Rank 2 Number,Rank 2 Name,Rank 2 Rider,Rank 2 W,Rank 2 P,Rank 3 Number,Rank 3 Name,Rank 3 Rider,Rank 3 W,Rank 3 P,Rank 4 Number,Rank 4 Name,Rank 4 Rider,Rank 4 W,Rank 4 P,Win,Place,Qulnella,Exacta,Trifecta,First 4,Double,Quaddle,Qulnella Results,Qulnella Dividends,Exacta Results,Exacta Dividends,Trifecta Results,Trifecta Dividends,First 4 Results,First 4 Dividends
1,OD,Winnellie Park,17:02,312,HOLDFAST INSURANCE BROKERS DASH MX 1/2/3,4,GO BRANDI,S. BOLTON,1.30,1.04,5,SWANSEA SHANNON,G. FERNS,-,4.10,7,SUNSET SHERBET,G. FERNS,-,-,8,CROCODILE CRUSH,S. BOLTON,-,-,"3,864","1,156",518,442,"1,270","1,441",13,-,4-5,6.80,4-5,6.00,4-5-7,51.90,4-5-7-8,73.00
0,SD,Richmond,17:05,330,LADBROKES MAIDEN HEAT 1 MDN HT,3,AUTUMN BLUE,L. VANDERBURG,4.70,2.10,1,BOLLY'S GIRL,A. BELL,-,1.80,5,PORTELLI PUNK,K. SULTANA,-,1.40,4,SON OF SIZZLE,R. POLIDANO,-,-,"5,922","2,233","1,335",769,"3,904","3,222",828,735,1-3,7.00,3-1,15.60,3-1-5,75.20,3-1-5-4,244.80
1,MD,Cranbourne,17:08,311,AT CRANBOURNE - GREYHOUNDS ARE OUR LIFE MDN,4,I'M THE GREATEST,I. BROWN,2.00,1.04,1,COMMANDER KAY,G. NICOLL,-,1.80,8,GALLOPING FELIX,R. CONWAY,-,-,7,BOES BOUNTY,V. GAY,-,-,"5,450","1,700","1,063",487,"2,898","2,537",55,-,1-4,2.20,4-1,6.20,4-1-8,29.40,4-1-8-7,106.00
4,ST,Bathurst,17:10,1730,COBBITY EQUINE PACE NR UP TO 55 PACE,4,YES YOU MAY,AMANDA TURNBULL,1.60,1.20,3,ROCK FISHERMAN,BERNIE HEWITT,-,1.30,9,WATCHED FROM ABOVE,TRENT RUE,-,6.90,1,SPORTY MICKILLA,MARK HEWITT,-,-,"4,737","1,633","1,218",777,"3,420","3,402",136,"5,070",3-4,1.70,4-3,2.50,4-3-9,103.90,4-3-9-1,127.10
1,BD,Rockhampton,17:15,407,LEST WE FORGET NOV,4,ERRATIC GEORGE,D. BECKETT,4.40,2.50,1,MIA SURE CAN,C. POLLARD,-,2.40,8,WISE DECISIONS,D. TAYLOR,-,-,3,WHAT SAY YOU,C. POLLARD,-,-,"5,718","2,761","2,080","1,521","4,929","4,773",44,-,1-4,11.50,4-1,9.10,4-1-8,39.70,4-1-8-3,191.90
1,MDP,Ballarat,17:18,390,EUREKA CONCRETE MDN,3,MYSTIC ROSE,J. GALEA,2.90,1.04,5,GINGER MEGGS,J. GALEA,-,4.90,1,NERO BALE,M. DELBRIDGE,-,1.04,4,BUZZ OUT,D. LEATHAN,-,-,"5,747","1,985","1,374",597,"3,487","3,483",130,-,3-5,30.90,3-5,31.40,3-5-1,118.90,3-5-1-4,348.30
3,BT,Redcliffe,17:20,2040,COMFORT INN NORTHGATE PACE NR 50 TO 55 PACE,5,SUKI DAYO,KYLIE RASMUSSEN,3.10,1.60,3,TULHURST KATE,MATT ELKINS,-,2.50,6,CORINDHAP CREEK,TALEAH MCMULLEN,-,2.00,7,BUKTHSYSTEM,TRENT MOFFAT,-,-,"6,273","1,991","1,291",716,"3,910","2,675",187,-,3-5,16.30,5-3,49.90,5-3-6,182.10,5-3-6-7,1156.30
2,OD,Winnellie Park,17:22,312,CLARKE CONSTRUCTIONS DASH GR4,3,BETTY TURPIN,A. LASKER,5.50,1.80,8,CROCODILE FLOW,S. BOLTON,-,1.04,1,QUETZALLI,G. SCOTT,-,1.20,2,SPRING DOUBLE,S. BOLTON,-,-,"4,650","1,921",860,458,"2,574","1,550",25,-,3-8,7.90,3-8,19.10,3-8-1,34.40,3-8-1-2,572.80
1,SD,Richmond,17:25,330,KEVIN WATERS TOWING MAIDEN HEAT 2 MDN HT,1,LOCKOUT PAWS,G. SUTER,8.80,2.40,2,PURE CHARISMA,P. BETAR,-,1.80,6,RACHEL'S REVENGE,J. SCIBERRAS,-,6.40,4,BUGATTI CHECKERS,J. DAVIS,-,-,"7,085","2,084","1,303",538,"4,272","3,383",36,-,1-2,22.20,1-2,40.30,1-2-6,427.60,1-2-6-4,1159.40
2,MD,Cranbourne,17:28,311,DOWNLOAD THE NEW WATCHDOG APP MDN,7,GIANT SHADOW,J. NIBBS,20.30,4.10,4,CULLQUIN VINCENT,D. FRANKLIN,-,1.60,1,CHOCOLATE ROCKET,G. GLEDHILL,-,4.40,8,PARUMBA BARTY,P. REPICI,-,-,"5,404","1,916","1,372",702,"5,552","4,097",123,-,4-7,101.20,7-4,584.50,7-4-1,2324.30,7-4-1-8,4658.60
